id,att
822,"beer,flavor,taste,aroma,color"
823,"beer,taste,light,bottle,alcohol"
824,"taste,beer,aroma,bottle,medium"
826,"beer,taste,aroma,malt,bit"
827,"beer,flavor,color,taste,malty"
828,"taste,beer,color,citrus,medium"
830,"beer,taste,light,bottle,alcohol"
832,"beer,taste,light,bottle,alcohol"
834,"beer,taste,light,bottle,alcohol"
835,"beer,flavor,color,taste,malty"
836,"beer,flavor,taste,aroma,color"
840,"beer,taste,aroma,malt,bit"
841,"beer,flavor,taste,aroma,color"
842,"beer,taste,light,bottle,alcohol"
843,"beer,flavor,color,taste,malty"
845,"beer,taste,light,bottle,alcohol"
846,"beer,taste,flavor,chocolate,coffee"
849,"beer,taste,light,bottle,alcohol"
850,"beer,flavor,taste,aroma,color"
851,"beer,taste,aroma,malt,bit"
852,"taste,beer,aroma,bottle,medium"
853,"beer,flavor,color,taste,malty"
854,"beer,flavor,color,taste,malty"
855,"hop,medium,malt,flavor,chocolate"
856,"beer,taste,aroma,malt,bit"
857,"beer,taste,aroma,malt,bit"
858,"beer,taste,flavor,chocolate,coffee"
859,"beer,flavor,color,taste,malty"
860,"beer,flavor,taste,aroma,color"
861,"beer,taste,flavor,chocolate,coffee"
862,"beer,taste,light,bottle,alcohol"
864,"beer,taste,aroma,malt,bit"
866,"taste,beer,aroma,bottle,medium"
867,"beer,taste,light,bottle,alcohol"
869,"beer,flavor,taste,aroma,color"
870,"beer,taste,light,bottle,alcohol"
872,"beer,taste,aroma,malt,bit"
873,"beer,taste,light,bottle,alcohol"
874,"beer,taste,aroma,malt,bit"
876,"beer,taste,flavor,chocolate,coffee"
877,"beer,taste,light,bottle,alcohol"
878,"beer,taste,light,bottle,alcohol"
879,"beer,flavor,taste,aroma,color"
881,"beer,taste,light,bottle,alcohol"
886,"beer,flavor,color,taste,malty"
888,"taste,beer,aroma,bottle,medium"
890,"beer,flavor,taste,aroma,color"
891,"beer,flavor,taste,aroma,color"
892,"beer,taste,light,bottle,alcohol"
894,"beer,taste,light,bottle,alcohol"
895,"beer,taste,light,bottle,alcohol"
896,"beer,taste,light,bottle,alcohol"
897,"orange,aroma,fruity,taste,beer"
898,"taste,beer,color,citrus,medium"
899,"bottle,flavor,caramel,beer,taste"
900,"beer,taste,light,bottle,alcohol"
901,"beer,taste,flavor,chocolate,coffee"
902,"taste,beer,color,citrus,medium"
903,"taste,beer,aroma,bottle,medium"
904,"bottle,flavor,caramel,beer,taste"
905,"beer,taste,light,bottle,alcohol"
906,"beer,taste,light,bottle,alcohol"
907,"beer,taste,light,bottle,alcohol"
908,"orange,aroma,fruity,taste,beer"
909,"taste,beer,aroma,bottle,medium"
910,"beer,flavor,taste,aroma,color"
911,"bottle,flavor,caramel,beer,taste"
912,"hop,medium,malt,flavor,chocolate"
913,"hop,medium,malt,flavor,chocolate"
914,"hop,medium,malt,flavor,chocolate"
915,"hop,medium,malt,flavor,chocolate"
916,"orange,aroma,fruity,taste,beer"
917,"beer,taste,flavor,chocolate,coffee"
918,"hop,medium,malt,flavor,chocolate"
919,"taste,beer,color,citrus,medium"
920,"taste,beer,color,citrus,medium"
921,"taste,beer,color,citrus,medium"
922,"taste,beer,color,citrus,medium"
923,"taste,beer,aroma,bottle,medium"
924,"taste,beer,color,citrus,medium"
925,"taste,beer,color,citrus,medium"
926,"bottle,flavor,caramel,beer,taste"
927,"taste,beer,color,citrus,medium"
928,"beer,taste,aroma,malt,bit"
